"","irr_256","irr_284","irr_304","irr_1175","irr_1216","irr_1335","irr_1405","MgII_EXIS","MgII_standard","time.x","xrsa_flux","xrsa_flux_observed","xrsa_flux_electrons","xrsb_flux","xrsb_flux_observed","xrsb_flux_electrons","xrsa_flag","xrsb_flag","xrsa_num","month.y","day.y","hour.y","minute.y","year.y","binary"
"1",6.8323556e-05,1.477481e-05,0.00044560732,8.8950444e-05,0.00644838,0.00018550493,0.00012237404,0.28987437,0.26355132,13239,4.726185e-09,1.3355913e-08,8.629727e-09,1.0393437e-08,3.2009726e-08,2.1616287e-08,4,4,60,1,10,4,39,2018,1
"2",6.7953464e-05,1.5319623e-05,0.00044475833,8.834383e-05,0.0065354463,0.00018564553,0.00012283403,0.2900431,0.26359725,20753,4.620746e-09,2.1984354e-08,1.736361e-08,9.948617e-09,5.2909872e-08,4.2961254e-08,4,4,60,1,15,9,53,2018,1
"3",6.84295e-05,1.657568e-05,0.00045077442,8.882879e-05,0.006602281,0.00018690845,0.0001232969,0.29104573,0.26387027,22596,1e-09,2.5994787e-08,2.6647271e-08,5.8963103e-08,9.743166e-08,3.846856e-08,4,0,60,1,16,16,36,2018,1
"4",6.673166e-05,1.4834108e-05,0.0004407757,8.7567234e-05,0.0064974166,0.00018493272,0.00012202487,0.28970885,0.26350623,27364,6.5826224e-09,8.236647e-09,1.6540245e-09,1.7112932e-08,2.2081656e-08,4.968724e-09,0,0,60,1,20,0,4,2018,1
"5",6.660225e-05,1.443572e-05,0.00043984654,8.7664695e-05,0.006478101,0.00018369537,0.00012129437,0.28975987,0.26352012,27896,5.089362e-09,6.7617427e-09,1.672381e-09,1.0010542e-08,1.5358333e-08,5.3477915e-09,0,0,60,1,20,8,56,2018,1
"6",6.262472e-05,1.0653988e-05,0.00042617437,8.681487e-05,0.006317109,0.00018048263,0.000119551914,0.2871315,0.26280442,38167,1.0637352e-08,3.0380047e-08,1.9742696e-08,3.7768553e-09,3.610874e-08,3.2331887e-08,4,4,60,1,27,12,7,2018,1
"7",6.1327475e-05,1.0239024e-05,0.0004224368,8.6264e-05,0.0062759137,0.00017862536,0.00011930478,0.286252,0.26256493,39519,5.5351568e-09,1.7431121e-08,1.1895965e-08,5.79104e-09,2.7991529e-08,2.2200489e-08,4,4,60,1,28,10,39,2018,1
"8",6.2554216e-05,1.0308566e-05,0.0004270745,8.637835e-05,0.006363387,0.00018191308,0.0001201234,0.28829002,0.26311988,45192,4.109773e-09,1.0080383e-08,5.9706102e-09,3.0002343e-09,2.4795387e-08,2.1795152e-08,4,4,60,2,1,9,12,2018,1
"9",6.564363e-05,1.4086471e-05,0.00042887416,8.684979e-05,0.006335905,0.000181401,0.00012060168,0.2878005,0.2629866,49533,8.028278e-09,1.170837e-08,3.6800927e-09,3.963752e-08,4.844685e-08,8.809332e-09,0,0,60,2,4,9,33,2018,1
"10",6.7865534e-05,1.6739727e-05,0.0004386017,8.679181e-05,0.0064688623,0.00018426162,0.00012085545,0.2911076,0.2638871,63493,8.319052e-09,9.127486e-09,8.084339e-10,5.1317567e-08,5.4716264e-08,3.398698e-09,0,0,60,2,14,2,13,2018,1
